Date,KO,MCD
2010-01-04,17.557865142822266,40.80106735229492
2010-01-05,17.3454647064209,40.4891242980957
2010-01-06,17.339317321777344,39.93671417236328
2010-01-07,17.296226501464844,40.229164123535156
2010-01-08,16.97609519958496,40.19017791748047
2010-01-11,17.320846557617188,40.50213623046875
2010-01-12,17.50861358642578,40.723087310791016
2010-01-13,17.55478858947754,40.67760467529297
2010-01-14,17.585567474365234,40.71659469604492
2010-01-15,17.326995849609375,40.47613525390625
2010-01-19,17.367019653320312,41.25602722167969
2010-01-20,17.08382225036621,40.950557708740234
2010-01-21,16.735994338989258,41.07404327392578
2010-01-22,16.69597816467285,41.19751739501953
2010-01-25,16.729835510253906,41.0025520324707
2010-01-26,16.665193557739258,41.47050476074219
2010-01-27,16.77908706665039,41.418495178222656
2010-01-28,16.677509307861328,40.83358383178711
2010-01-29,16.699054718017578,40.57361602783203
2010-02-01,16.739070892333984,41.52248001098633
2010-02-02,16.9453067779541,41.61347579956055
2010-02-03,16.889896392822266,42.3803596496582
2010-02-04,16.446643829345703,41.632972717285156
2010-02-05,16.341981887817383,41.18453598022461
2010-02-08,16.2065486907959,40.89207077026367
2010-02-09,16.62518310546875,41.314510345458984
2010-02-10,16.557458877563477,41.106544494628906
2010-02-11,16.6898250579834,41.45748519897461
2010-02-12,16.615947723388672,41.3275146484375
2010-02-16,16.874500274658203,41.600467681884766
2010-02-17,17.0314998626709,41.76295852661133
2010-02-18,17.21003532409668,41.905914306640625
2010-02-19,17.151548385620117,42.074913024902344
2010-02-22,17.046884536743164,42.09439468383789
2010-02-23,16.877586364746094,42.15939712524414
2010-02-24,16.979169845581055,42.4128532409668
2010-02-25,16.351221084594727,42.196563720703125
2010-02-26,16.228092193603516,41.84917449951172
2010-03-01,16.397388458251953,41.934391021728516
2010-03-02,16.4066219329834,41.993377685546875
2010-03-03,16.600555419921875,41.704986572265625
2010-03-04,16.766773223876953,41.573909759521484
2010-03-05,16.837570190429688,41.731201171875
2010-03-08,16.76369857788086,42.681575775146484
2010-03-09,16.677509307861328,42.6684684753418
2010-03-10,16.68366241455078,42.5636100769043
2010-03-11,16.634004592895508,42.740570068359375
2010-03-12,16.55643081665039,42.9503059387207
2010-03-15,16.649534225463867,43.21247482299805
2010-03-16,16.665042877197266,43.304229736328125
2010-03-17,16.7084903717041,43.507415771484375
2010-03-18,16.742630004882812,43.70405578613281
2010-03-19,16.99090003967285,43.60573196411133
2010-03-22,16.925724029541016,43.92033386230469
2010-03-23,17.161582946777344,44.14318084716797
2010-03-24,16.950557708740234,43.78270721435547
2010-03-25,17.006412506103516,43.84825897216797
2010-03-26,16.95986557006836,44.08421325683594
2010-03-29,16.99709701538086,43.959678649902344
2010-03-30,17.02813148498535,44.07108688354492
2010-03-31,17.06847381591797,43.73026657104492
2010-04-01,17.161582946777344,44.29393005371094
2010-04-05,17.02503776550293,44.5888786315918
2010-04-06,16.8481388092041,44.44468688964844
2010-04-07,16.702285766601562,44.372589111328125
2010-04-08,16.68366813659668,45.06733322143555
2010-04-09,16.941238403320312,45.014896392822266
2010-04-12,16.994001388549805,44.91658020019531
2010-04-13,17.074691772460938,45.17220687866211
2010-04-14,17.052967071533203,45.49991989135742
2010-04-15,16.83883285522461,45.329505920410156
2010-04-16,17.059171676635742,45.24430847167969
2010-04-19,17.16779327392578,45.8276252746582
2010-04-20,16.90399932861328,46.1029167175293
2010-04-21,16.817106246948242,46.11603546142578
2010-04-22,16.854351043701172,46.55516815185547
2010-04-23,16.72091293334961,46.633819580078125
2010-04-26,16.67435073852539,46.54860305786133
2010-04-27,16.40746307373047,46.227455139160156
2010-04-28,16.559524536132812,46.1029167175293
2010-04-29,16.677461624145508,46.8763313293457
2010-04-30,16.587459564208984,46.266761779785156
2010-05-03,16.68366813659668,46.810787200927734
2010-05-04,16.503664016723633,46.2995491027832
2010-05-05,16.652626037597656,46.31266784667969
2010-05-06,16.230571746826172,45.49991989135742
2010-05-07,16.345399856567383,44.575767517089844
2010-05-10,16.770549774169922,46.260223388671875
2010-05-11,16.637115478515625,46.19466781616211
2010-05-12,16.76434898376465,46.3192138671875
2010-05-13,16.599876403808594,46.207786560058594
2010-05-14,16.55332374572754,45.611351013183594
2010-05-17,16.575044631958008,45.971839904785156
2010-05-18,16.47884178161621,45.893184661865234
2010-05-19,16.485050201416016,45.48682403564453
2010-05-20,15.994717597961426,44.34636306762695
2010-05-21,16.010236740112305,44.477455139160156
2010-05-24,15.969889640808105,44.34636306762695
2010-05-25,15.709208488464355,44.464351654052734
2010-05-26,15.541627883911133,43.2649040222168
2010-05-27,15.898512840270996,44.41494369506836
2010-05-28,15.951271057128906,44.19683074951172
2010-06-01,15.917133331298828,43.859745025634766
2010-06-02,16.26470375061035,44.79168701171875
2010-06-03,16.370229721069336,44.84453201293945
2010-06-04,15.910928726196289,44.0844612121582
2010-06-07,15.765066146850586,44.11751937866211
2010-06-08,16.00092315673828,45.1948356628418
2010-06-09,15.935751914978027,45.11552810668945
2010-06-10,16.277122497558594,45.84920120239258
2010-06-11,16.16446304321289,45.961544036865234
2010-06-14,16.12064552307129,45.80290985107422
2010-06-15,16.3303279876709,46.52995300292969
2010-06-16,16.399181365966797,46.45722961425781
2010-06-17,16.386659622192383,46.29859924316406
2010-06-18,16.37101173400879,46.18626403808594
2010-06-21,16.42421531677246,46.21268081665039
2010-06-22,16.417953491210938,45.36668395996094
2010-06-23,16.349111557006836,45.360076904296875
2010-06-24,16.211400985717773,44.76522445678711
2010-06-25,15.729440689086914,44.56034469604492
