Date,KO,PEP
2010-01-04,17.557865142822266,38.33393859863281
2010-01-05,17.3454647064209,38.797149658203125
2010-01-06,17.339317321777344,38.409053802490234
2010-01-07,17.296226501464844,38.16492462158203
2010-01-08,16.97609519958496,38.039737701416016
2010-01-11,17.320846557617188,37.99592590332031
2010-01-12,17.50861358642578,38.52798843383789
2010-01-13,17.55478858947754,38.84096145629883
2010-01-14,17.585567474365234,39.31044006347656
2010-01-15,17.326995849609375,38.9911994934082
2010-01-19,17.367019653320312,39.0162353515625
2010-01-20,17.08382225036621,38.77836227416992
2010-01-21,16.735994338989258,38.146148681640625
2010-01-22,16.69597816467285,37.80187225341797
2010-01-25,16.729835510253906,37.70171356201172
2010-01-26,16.665193557739258,37.7142448425293
2010-01-27,16.77908706665039,37.73927307128906
2010-01-28,16.677509307861328,37.394996643066406
2010-01-29,16.699054718017578,37.31987380981445
2010-02-01,16.739070892333984,37.99592590332031
2010-02-02,16.9453067779541,38.27760696411133
2010-02-03,16.889896392822266,38.3652229309082
2010-02-04,16.446643829345703,37.332401275634766
2010-02-05,16.341981887817383,37.25101852416992
2010-02-08,16.2065486907959,36.90675354003906
2010-02-09,16.62518310546875,37.58904266357422
2010-02-10,16.557458877563477,37.79560470581055
2010-02-11,16.6898250579834,38.302642822265625
2010-02-12,16.615947723388672,38.13364028930664
2010-02-16,16.874500274658203,38.377750396728516
2010-02-17,17.0314998626709,38.878517150878906
2010-02-18,17.21003532409668,39.14142608642578
2010-02-19,17.151548385620117,39.222808837890625
2010-02-22,17.046884536743164,39.066314697265625
2010-02-23,16.877586364746094,38.67195129394531
2010-02-24,16.979169845581055,38.859745025634766
2010-02-25,16.351221084594727,38.997467041015625
2010-02-26,16.228092193603516,39.10386276245117
2010-03-01,16.397388458251953,39.70479202270508
2010-03-02,16.4066219329834,39.9364013671875
2010-03-03,16.600555419921875,40.33356857299805
2010-03-04,16.766773223876953,40.41551208496094
2010-03-05,16.837570190429688,40.57941818237305
2010-03-08,16.76369857788086,40.44072341918945
2010-03-09,16.677509307861328,40.573116302490234
2010-03-10,16.68366241455078,40.61724090576172
2010-03-11,16.634004592895508,40.957672119140625
2010-03-12,16.55643081665039,41.039615631103516
2010-03-15,16.649534225463867,41.70155715942383
2010-03-16,16.665042877197266,41.65109634399414
2010-03-17,16.7084903717041,41.96632385253906
2010-03-18,16.742630004882812,41.9348030090332
2010-03-19,16.99090003967285,41.960018157958984
2010-03-22,16.925724029541016,41.80241394042969
2010-03-23,17.161582946777344,42.14915466308594
2010-03-24,16.950557708740234,41.77089309692383
2010-03-25,17.006412506103516,41.953704833984375
2010-03-26,16.95986557006836,41.97893524169922
2010-03-29,16.99709701538086,41.953704833984375
2010-03-30,17.02813148498535,42.092403411865234
2010-03-31,17.06847381591797,41.707847595214844
2010-04-01,17.161582946777344,42.0356559753418
2010-04-05,17.02503776550293,41.59437561035156
2010-04-06,16.8481388092041,41.85283279418945
2010-04-07,16.702285766601562,41.600685119628906
2010-04-08,16.68366813659668,41.58807373046875
2010-04-09,16.941238403320312,41.83393859863281
2010-04-12,16.994001388549805,41.808712005615234
2010-04-13,17.074691772460938,41.85283279418945
2010-04-14,17.052967071533203,41.78980255126953
2010-04-15,16.83883285522461,41.777198791503906
2010-04-16,17.059171676635742,41.69524383544922
2010-04-19,17.16779327392578,41.68263626098633
2010-04-20,16.90399932861328,41.5439567565918
2010-04-21,16.817106246948242,41.59437561035156
2010-04-22,16.854351043701172,40.82528305053711
2010-04-23,16.72091293334961,40.79376220703125
2010-04-26,16.67435073852539,40.98918914794922
2010-04-27,16.40746307373047,40.49116516113281
2010-04-28,16.559524536132812,40.8189811706543
2010-04-29,16.677461624145508,41.102657318115234
2010-04-30,16.587459564208984,41.11526870727539
2010-05-03,16.68366813659668,41.41156768798828
2010-05-04,16.503664016723633,41.247650146484375
2010-05-05,16.652626037597656,41.102657318115234
2010-05-06,16.230571746826172,40.787445068359375
2010-05-07,16.345399856567383,40.70549392700195
2010-05-10,16.770549774169922,41.865447998046875
2010-05-11,16.637115478515625,41.953704833984375
2010-05-12,16.76434898376465,42.19956970214844
2010-05-13,16.599876403808594,41.90958023071289
2010-05-14,16.55332374572754,41.65109634399414
2010-05-17,16.575044631958008,42.07978439331055
2010-05-18,16.47884178161621,41.94111633300781
2010-05-19,16.485050201416016,41.63219451904297
2010-05-20,15.994717597961426,40.257911682128906
2010-05-21,16.010236740112305,40.08138656616211
2010-05-24,15.969889640808105,39.9174919128418
2010-05-25,15.709208488464355,39.64640808105469
2010-05-26,15.541627883911133,38.599918365478516
2010-05-27,15.898512840270996,39.6527099609375
2010-05-28,15.951271057128906,39.64640808105469
2010-06-01,15.917133331298828,39.56447219848633
2010-06-02,16.26470375061035,40.3140754699707
2010-06-03,16.370229721069336,40.25690841674805
2010-06-04,15.910928726196289,39.03082275390625
2010-06-07,15.765066146850586,39.21505355834961
2010-06-08,16.00092315673828,39.79951477050781
2010-06-09,15.935751914978027,39.69786834716797
2010-06-10,16.277122497558594,40.55548095703125
2010-06-11,16.16446304321289,40.37760925292969
2010-06-14,16.12064552307129,40.56184005737305
2010-06-15,16.3303279876709,40.80957794189453
2010-06-16,16.399181365966797,40.59994888305664
2010-06-17,16.386659622192383,40.96839904785156
2010-06-18,16.37101173400879,40.70794677734375
2010-06-21,16.42421531677246,40.669830322265625
2010-06-22,16.417953491210938,40.21242904663086
2010-06-23,16.349111557006836,39.85032653808594
2010-06-24,16.211400985717773,39.64069366455078
2010-06-25,15.729440689086914,38.60520935058594
