Date,position,pnl,trade,pnl_tc
2010-05-12,0.0,,,
2010-05-13,0.0,-0.0,0.0,-0.0
2010-05-14,0.0,-0.0,0.0,-0.0
2010-05-17,0.0,0.0,0.0,0.0
2010-05-18,0.0,-0.0,0.0,-0.0
2010-05-19,0.0,-0.0,0.0,-0.0
2010-05-20,0.0,-0.0,0.0,-0.0
2010-05-21,0.0,0.0,0.0,0.0
2010-05-24,0.0,0.0,0.0,0.0
2010-05-25,0.0,-0.0,0.0,-0.0
2010-05-26,0.0,0.0,0.0,0.0
2010-05-27,0.0,0.0,0.0,0.0
2010-05-28,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0
2010-06-02,0.0,0.0,0.0,0.0
2010-06-03,0.0,0.0,0.0,0.0
2010-06-04,0.0,-0.0,0.0,-0.0
2010-06-07,0.0,-0.0,0.0,-0.0
2010-06-08,0.0,-0.0,0.0,-0.0
2010-06-09,0.0,-0.0,0.0,-0.0
2010-06-10,0.0,0.0,0.0,0.0
2010-06-11,0.0,-0.0,0.0,-0.0
2010-06-14,0.0,0.0,0.0,0.0
2010-06-15,0.0,-0.0,0.0,-0.0
2010-06-16,0.0,0.0,0.0,0.0
2010-06-17,0.0,0.0,0.0,0.0
2010-06-18,0.0,0.0,0.0,0.0
2010-06-21,0.0,0.0,0.0,0.0
2010-06-22,-0.024022074791899786,0.0,0.024022074791899786,-2.4022074791899787e-05
2010-06-23,-0.027446505869941643,0.001508923454112804,0.0034244310780418563,0.001505499023034762
2010-06-24,-0.027253112938476227,-0.0007565561883302876,0.00019339293146541578,-0.000756749581261753
2010-06-25,0.0,0.011762659124022929,0.027253112938476227,0.011735406011084453
2010-06-28,0.0,0.0,0.0,0.0
2010-06-29,0.0,-0.0,0.0,-0.0
2010-06-30,0.0,0.0,0.0,0.0
2010-07-01,0.0,-0.0,0.0,-0.0
2010-07-02,0.0,0.0,0.0,0.0
2010-07-06,0.0,0.0,0.0,0.0
2010-07-07,-0.029464557252747135,0.0,0.029464557252747135,-2.9464557252747135e-05
2010-07-08,-0.02854689197725769,-0.0004096238977860195,0.0009176652754894453,-0.00041054156306150893
2010-07-09,-0.02791657668691862,0.0015322277635675793,0.0006303152903390681,0.0015315974482772402
2010-07-12,0.0,0.0029549195317884152,0.02791657668691862,0.0029270029551014968
2010-07-13,0.0,-0.0,0.0,-0.0
2010-07-14,0.0,0.0,0.0,0.0
2010-07-15,0.0,-0.0,0.0,-0.0
2010-07-16,0.0,0.0,0.0,0.0
2010-07-19,0.0,-0.0,0.0,-0.0
2010-07-20,-0.03875228594720003,0.0,0.03875228594720003,-3.875228594720003e-05
2010-07-21,-0.02977101216154631,-0.014809070112062494,0.00898127378565372,-0.014818051385848147
2010-07-22,-0.027970914451584138,0.006017135450868113,0.0018000977099621729,0.00601533535315815
2010-07-23,-0.021477851448715748,-0.01108447931842533,0.00649306300286839,-0.011090972381428199
2010-07-26,-0.02076750321770523,0.0034216800245038936,0.0007103482310105193,0.003420969676272883
2010-07-27,-0.018809294428028055,-0.0017057346013498397,0.001958208789677174,-0.001707692810139517
2010-07-28,-0.01753475041049233,-0.0007587193425840441,0.0012745440175357253,-0.0007599938866015798
2010-07-29,-0.016281723839017926,-0.0014531290936011076,0.0012530265714744034,-0.0014543821201725821
2010-07-30,-0.01635739442046516,0.0012971372941040437,7.567058144723401e-05,0.0012970616235225966
2010-08-02,-0.015316448448642456,-0.004001809682004114,0.0010409459718227036,-0.0040028506279759365
